"year","carrier_name","arr_flights","arr_del15","arr_delay","arr_del15_rate","arr_delay_ave"
2003,"Alaska",98735,18097,835260,0.183,46.2
2003,"American",434707,81756,4468760,0.188,54.7
2003,"Delta",386319,68346,3036886,0.177,44.4
2003,"ExpressJet",199362,38642,1929662,0.194,49.9
2003,"Hawaiian",7831,684,25080,0.087,36.7
2003,"JetBlue",40741,5443,288079,0.134,52.9
2003,"SkyWest",240401,26497,1295086,0.11,48.9
2003,"Southwest",562675,73653,3310943,0.131,45
2003,"United",320081,55572,3104262,0.174,55.9
2004,"Alaska",166992,35118,1769217,0.21,50.4
2004,"American",698548,148150,8787404,0.212,59.3
2004,"Delta",687638,151942,7160415,0.221,47.1
2004,"ExpressJet",367703,77652,4156258,0.211,53.5
2004,"Hawaiian",48077,2767,131667,0.058,47.6
2004,"JetBlue",89834,15672,685992,0.174,43.8
2004,"SkyWest",463448,69597,3308163,0.15,47.5
2004,"Southwest",990404,185595,8289874,0.187,44.7
2004,"United",555812,105032,5988916,0.189,57
2005,"Alaska",158100,44766,2371023,0.283,53
2005,"American",673569,144389,8122968,0.214,56.3
2005,"Delta",658302,137098,7146602,0.208,52.1
2005,"ExpressJet",403767,88656,4912083,0.22,55.4
2005,"Frontier",53255,9154,384931,0.172,42.1
2005,"Hawaiian",48183,2277,107620,0.047,47.3
2005,"JetBlue",111049,30430,1592411,0.274,52.3
2005,"SkyWest",517454,80313,3897574,0.155,48.5
2005,"Southwest",1036034,189099,8325153,0.183,44
2005,"United",485918,101429,5866380,0.209,57.8
2006,"Alaska",159404,39671,1978233,0.249,49.9
2006,"American",643597,145563,8573216,0.226,58.9
2006,"Delta",506086,111152,5466946,0.22,49.2
2006,"ExpressJet",441470,106286,6414521,0.241,60.4
2006,"Frontier",90181,16404,656266,0.182,40
2006,"Hawaiian",52173,2999,159367,0.057,53.1
2006,"JetBlue",155732,40738,2432839,0.262,59.7
2006,"SkyWest",548109,113760,6059436,0.208,53.3
2006,"Southwest",1099321,206597,9515613,0.188,46.1
2006,"United",500008,119391,7222635,0.239,60.5
2007,"Alaska",160185,41181,2107206,0.257,51.2
2007,"American",633857,178129,10869722,0.281,61
2007,"Delta",475889,102404,5176517,0.215,50.5
2007,"ExpressJet",434773,101558,6562382,0.234,64.6
2007,"Frontier",97760,21380,941066,0.219,44
2007,"Hawaiian",56175,3531,185243,0.063,52.5
2007,"JetBlue",191450,52907,3580607,0.276,67.7
2007,"SkyWest",597880,130405,6913905,0.218,53
2007,"Southwest",1168871,220441,10476439,0.189,47.5
2007,"United",490002,132461,8056164,0.27,60.8
2008,"Alaska",151102,30190,1507193,0.2,49.9
2008,"American",604883,163024,9569077,0.27,58.7
2008,"Delta",451931,98840,5125061,0.219,51.9
2008,"ExpressJet",374510,87883,5516150,0.235,62.8
2008,"Frontier",95762,19748,816449,0.206,41.3
2008,"Hawaiian",61826,5589,273111,0.09,48.9
2008,"JetBlue",196091,49223,3337721,0.251,67.8
2008,"SkyWest",567141,105245,6182502,0.186,58.7
2008,"Southwest",1201754,219757,11127162,0.183,50.6
2008,"United",449515,116072,7216447,0.258,62.2
2009,"Alaska",137322,21845,1003897,0.159,46
2009,"American",551597,114591,6796315,0.208,59.3
2009,"Delta",428007,85948,4408308,0.201,51.3
2009,"ExpressJet",310717,59558,3707790,0.192,62.3
2009,"Frontier",86989,18228,852954,0.21,46.8
2009,"Hawaiian",72920,5581,234162,0.077,42
2009,"JetBlue",194336,40684,2537600,0.209,62.4
2009,"SkyWest",547571,88827,4836475,0.162,54.4
2009,"Southwest",1132278,181988,8558081,0.161,47
2009,"United",377048,64577,3884397,0.171,60.2
2010,"Alaska",136950,15861,741330,0.116,46.7
2010,"American",540963,99108,5565988,0.183,56.2
2010,"Delta",732972,149425,8195204,0.204,54.8
